property_id,price,property_subtype,province,locality_name,postal_code,latitude,longitude,living_area,surface_of_good,number_of_facades,kitchen_type,furnished,open_fire,terrace,terrace_area,garden,garden_area,swimming_pool,state_of_building
34221000,225000.0,APARTMENT,Antwerp,Antwerp,2050,51.2171725,4.3799821,100.0,,2.0,INSTALLED,0,0,1,5.0,0,0.0,0,MISSING
34036000,335000.0,APARTMENT,Brussels,Brussels,1070,50.8420431,4.3345427,142.0,,2.0,INSTALLED,0,0,1,,0,0.0,0,AS_NEW
48727000,982700.0,DUPLEX,Walloon Brabant,Nivelles,1410,,,169.0,,2.0,HYPER_EQUIPPED,0,0,1,20.0,1,142.0,0,AS_NEW
13232000,325000.0,APARTMENT,Walloon Brabant,Nivelles,1420,50.6836074,4.3715129,80.0,,,MISSING,0,0,1,11.0,0,0.0,0,MISSING
74290000,185000.0,APARTMENT,Liège,Liège,4000,50.6318255,5.5573521,,,2.0,MISSING,0,0,1,,0,0.0,0,MISSING
52406000,957000.0,APARTMENT,West Flanders,Veurne,8670,51.1335511,2.6841365,133.0,,,NOT_INSTALLED,0,1,1,24.0,0,0.0,0,MISSING
59541000,294000.0,APARTMENT,Liège,Verviers,4700,50.6335911,6.0298685,106.0,,3.0,NOT_INSTALLED,0,1,1,7.0,0,0.0,0,MISSING
22074000,347000.0,APARTMENT,Antwerp,Mechelen,2820,51.0240727,4.5424491,102.0,,2.0,INSTALLED,0,0,1,,0,0.0,0,MISSING
19219000,258000.0,APARTMENT,Liège,Liège,4620,50.6152662,5.6818334,83.0,,,INSTALLED,0,1,1,16.0,0,0.0,0,MISSING
47395000,270000.0,APARTMENT,Antwerp,Antwerp,2100,,,115.0,,3.0,MISSING,0,0,1,,0,0.0,0,TO_BE_DONE_UP
33039000,175000.0,FLAT_STUDIO,Brussels,Brussels,1160,50.822456,4.4069171,38.0,,,INSTALLED,0,0,0,0.0,0,0.0,0,GOOD
37990000,272000.0,APARTMENT,Flemish Brabant,Halle-Vilvoorde,1500,,,84.0,,2.0,MISSING,0,0,1,13.0,0,0.0,0,AS_NEW
62831000,319000.0,APARTMENT,Flemish Brabant,Leuven,3210,50.889716,4.8340729,85.0,,,USA_HYPER_EQUIPPED,0,0,1,12.0,0,0.0,0,AS_NEW
15128000,130000.0,GROUND_FLOOR,Limburg,Hasselt,3550,51.0418133,5.3006514,49.0,,,MISSING,0,0,0,0.0,0,0.0,0,GOOD
41033000,310000.0,PENTHOUSE,East Flanders,Aalst,9450,50.910128,3.98694,93.0,,2.0,MISSING,0,0,1,45.0,0,0.0,0,MISSING
43150000,320844.0,APARTMENT,West Flanders,Brugge,8000,,,112.0,,,MISSING,0,0,0,0.0,0,0.0,0,MISSING
25701000,372500.0,APARTMENT,West Flanders,Oostend,8400,51.231003,2.9204224,82.0,,,MISSING,0,0,1,8.0,0,0.0,0,GOOD
14166000,305000.0,GROUND_FLOOR,East Flanders,Oudenaarde,9770,50.9040446,3.5211778,96.0,,,HYPER_EQUIPPED,0,0,1,13.0,0,0.0,0,GOOD
12568000,270650.0,APARTMENT,East Flanders,Aalst,9300,50.9342398,4.0481151,69.0,,2.0,MISSING,0,0,1,8.0,0,0.0,0,MISSING
10472000,280000.0,APARTMENT,Antwerp,Turnhout,2280,51.1726725,4.7431011,82.0,,2.0,MISSING,0,0,1,14.0,0,0.0,0,GOOD
